mesh_id,mondo_id,mondo_label
D018288,MONDO_0000402,small cell carcinoma
D016410,MONDO_0000607,primary cutaneous T-cell non-Hodgkin lymphoma
D004379,MONDO_0000920,duodenum cancer
D006338,MONDO_0001340,heart cancer
D014625,MONDO_0001402,vaginal cancer
D014846,MONDO_0001528,vulva cancer
D001932,MONDO_0001657,brain cancer
D015173,MONDO_0002071,supratentorial cancer
D009383,MONDO_0002095,vascular cancer
D018278,MONDO_0002120,neuroendocrine carcinoma
D001859,MONDO_0002129,bone cancer
D007573,MONDO_0002131,jaw cancer
D051677,MONDO_0002142,undifferentiated pleomorphic sarcoma
D005134,MONDO_0002236,ocular cancer
D007680,MONDO_0002367,kidney cancer
C562741,MONDO_0002422,adamantinoma
D000231,MONDO_0002512,papillary adenocarcinoma
C537605,MONDO_0002580,orbit rhabdomyosarcoma
D018237,MONDO_0002598,germinoma
D018243,MONDO_0002599,teratocarcinoma
D010144,MONDO_0002648,mammary Paget disease
D002551,MONDO_0002682,cerebral ventricle cancer
D016543,MONDO_0002714,central nervous system cancer
D014594,MONDO_0002715,uterine cancer
D018335,MONDO_0002728,rhabdoid tumor
D002283,MONDO_0002806,bronchogenic carcinoma
D018268,MONDO_0002814,adrenal carcinoma
D000310,MONDO_0002817,adrenal gland cancer
C538232,MONDO_0002878,uterine corpus adenosarcoma
D020295,MONDO_0002912,brainstem cancer
D018227,MONDO_0002926,clear cell sarcoma
D002296,MONDO_0002928,carcinosarcoma
D018239,MONDO_0003001,seminoma
D004407,MONDO_0003002,dysgerminoma
C536851,MONDO_0003008,hereditary renal cell carcinoma
C536368,MONDO_0003024,breast angiosarcoma
D018277,MONDO_0003036,mucoepidermoid carcinoma
D019572,MONDO_0003072,retinal cancer
D015192,MONDO_0003107,infratentorial cancer
D018201,MONDO_0003130,mesoblastic nephroma
D065311,MONDO_0003218,adenocarcinoma in situ
D002281,MONDO_0003264,basosquamous carcinoma
D004428,MONDO_0003277,malignant ear neoplasm
D018285,MONDO_0003345,hilar cholangiocarcinoma
C536475,MONDO_0003715,bladder urachal carcinoma
C536474,MONDO_0004331,bladder urachal adenocarcinoma
D009959,MONDO_0004608,oropharynx cancer
D014062,MONDO_0004631,tongue cancer
D007951,MONDO_0004643,myeloid leukemia
D002278,MONDO_0004647,in situ carcinoma
D000071960,MONDO_0004658,breast carcinoma in situ
D012468,MONDO_0004669,salivary gland cancer
D010307,MONDO_0004700,parotid gland cancer
D007725,MONDO_0004829,Krukenberg carcinoma
D002288,MONDO_0004957,mucinous adenocarcinoma
D018267,MONDO_0004965,acinar cell carcinoma
D000230,MONDO_0004970,adenocarcinoma
D003528,MONDO_0004971,adenoid cystic carcinoma
D002282,MONDO_0004991,minimally invasive lung adenocarcinoma
D002277,MONDO_0004993,carcinoma
D018262,MONDO_0005004,clear cell adenocarcinoma
D002285,MONDO_0005023,ductal breast carcinoma in situ
D013920,MONDO_0005029,essential thrombocythemia
D018263,MONDO_0005034,thyroid gland follicular carcinoma
D012514,MONDO_0005055,Kaposi's sarcoma
D007890,MONDO_0005058,leiomyosarcoma
D008080,MONDO_0005060,liposarcoma
C538231,MONDO_0005061,lung adenocarcinoma
D018283,MONDO_0005074,papillary cystadenocarcinoma
D002292,MONDO_0005086,renal cell carcinoma
D012509,MONDO_0005089,sarcoma
D018279,MONDO_0005092,signet ring cell carcinoma
D002294,MONDO_0005096,squamous cell carcinoma
D005354,MONDO_0005164,fibrosarcoma
D021441,MONDO_0005184,pancreatic ductal adenocarcinoma
D012208,MONDO_0005212,rhabdomyosarcoma
D018287,MONDO_0005232,large cell carcinoma
D002289,MONDO_0005233,non-small cell lung carcinoma
D018236,MONDO_0005440,embryonal carcinoma
D013736,MONDO_0005447,testicular cancer
D064726,MONDO_0005494,triple-negative breast carcinoma
D010610,MONDO_0005517,pharynx cancer
C562729,MONDO_0005580,esophageal squamous cell carcinoma
D018270,MONDO_0005590,breast ductal adenocarcinoma
D003536,MONDO_0005596,cystadenocarcinoma
D018567,MONDO_0005628,male breast carcinoma
D018195,MONDO_0005636,adenosarcoma
D018212,MONDO_0005674,bone giant cell tumor
D054740,MONDO_0005764,follicular dendritic cell sarcoma
D007012,MONDO_0005806,hypopharynx cancer
D054739,MONDO_0005813,interdigitating dendritic cell sarcoma
D007414,MONDO_0005814,intestinal cancer
D005834,MONDO_0005836,male reproductive organ cancer
D008339,MONDO_0005837,mandibular cancer
D008479,MONDO_0005843,mediastinal cancer
D018198,MONDO_0005853,malignant mixed neoplasm
D018282,MONDO_0005858,mucinous cystadenocarcinoma
D009423,MONDO_0005872,nervous system cancer
D018273,MONDO_0005893,pancreatic endocrine carcinoma
D018202,MONDO_0005933,pulmonary blastoma
D012186,MONDO_0005941,retroperitoneal cancer
D002293,MONDO_0005953,scirrhous adenocarcinoma
D013160,MONDO_0005966,spleen cancer
